train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0007,0.02096342295408249,779,3.203986076923077,-1.8550364971160889,99,37.23076923076923,0,0.6067105233669281,-0.2961006760597229,500,100,,
0.0007,0.03741319477558136,777,4.331699848484847,-0.7605520486831665,199,30.303030303030305,1,-17.064573287963867,0.10850778967142105,1000,200,,
0.0007,2.080828905105591,805,4.864899280701755,-0.2931968569755554,299,26.157894736842106,1,-0.30058419704437256,0.12278084456920624,1500,300,,
0.0007,0.002117382362484932,817,5.076630536585366,-0.1930321753025055,399,24.341463414634145,2,-4.468071460723877,-0.0014978155959397554,2000,400,,
0.0007,0.055676013231277466,824,5.3361154,-0.32785362005233765,499,22.68,3,-0.31631791591644287,-0.1124819740653038,2500,500,,
0.0007,4.81611568829976e-05,829,5.61457465,-0.4029403328895569,599,20.65,3,0.6656487584114075,0.00029952568002045155,3000,600,,
0.0007,0.0002818499633576721,826,5.63695475,-0.3304608166217804,699,20.96,4,0.4960052967071533,-0.007737301290035248,3500,700,,
0.0007,0.005662531591951847,820,5.70051023,-0.753001868724823,799,21.84,4,-15.817142486572266,-0.11625673621892929,4000,800,,
0.0007,0.17948605120182037,817,5.78459339,-0.7750900983810425,899,23.43,5,0.9563869200646877,0.29261207580566406,4500,900,,
0.0007,0.00018969769007526338,,,-0.7292027473449707,999,,,0.6727979183197021,-0.0003743106499314308,5000,,2.5,50.0
,,788,5.655221740000001,,,25.79,6,,,5000,1000,,
0.0007,0.00023509473248850554,777,5.6688532899999995,-0.7326663732528687,1099,28.16,7,0.7939344197511673,0.009502495639026165,5500,1100,,
0.0007,7.647414167877287e-05,764,5.46231079,-0.6134660840034485,1199,30.78,7,0.9068318530917168,-0.004398838616907597,6000,1200,,
0.0007,0.001810655347071588,758,5.1692981200000006,-0.4350759983062744,1299,33.7,8,-0.5201689004898071,-0.00026558543322607875,6500,1300,,
0.0007,2.4957033019745722e-05,752,4.842969540000001,-0.5283985733985901,1399,36.82,9,0.9726312179118395,7.91209313319996e-05,7000,1400,,
0.0007,9.016390322358347e-06,755,4.50593408,-0.385440468788147,1499,39.47,9,0.9962140852585435,0.00017601826402824372,7500,1500,,
0.0007,1.2378387509670574e-05,758,4.16905267,-0.3569776117801666,1599,42.18,10,0.9980756570585072,-0.0002900963299907744,8000,1600,,
0.0007,0.0009063106263056397,763,3.8181799600000006,-0.35688650608062744,1699,44.65,11,0.9606055058538914,0.02684096060693264,8500,1700,,
0.0007,6.026212213328108e-05,767,3.4526719100000003,-0.5457442998886108,1799,46.94,11,0.9694449566304684,-9.071594104170799e-05,9000,1800,,
0.0007,0.004101982805877924,772,3.1040784500000003,-0.5865761041641235,1899,48.29,12,0.10928452014923096,0.15418502688407898,9500,1900,,
0.0007,4.315285332268104e-05,,,-0.7823522686958313,1999,,,0.9702814873307943,-0.00025444437051191926,10000,,2.5,50.0
,,769,3.11981236,,,48.5,12,,,10000,2000,,
0.0007,0.0005143469898030162,772,3.0850108599999992,-0.7029834389686584,2099,48.81,13,0.8252407312393188,0.010884172283113003,10500,2100,,
0.0007,9.045435581356287e-05,776,3.1205775500000006,-0.7137889862060547,2199,48.68,14,0.8903629705309868,0.0024055514950305223,11000,2200,,
0.0007,4.1560913814464584e-05,780,3.21024496,-0.6425848007202148,2299,48.69,14,0.9408911541104317,0.0015944924671202898,11500,2300,,
0.0007,0.0003898996801581234,784,3.25062336,-0.5463897585868835,2399,48.69,15,0.6321885585784912,-0.004873240832239389,12000,2400,,
0.0007,0.000511044345330447,784,3.2427557,-0.625392735004425,2499,48.69,15,0.9102493971586227,-0.004211993422359228,12500,2500,,
0.0007,0.0006719245575368404,783,3.22992473,-0.6362529993057251,2599,48.69,16,0.520679771900177,-0.02147543616592884,13000,2600,,
0.0007,0.0022882025223225355,778,3.21541631,-0.2858414947986603,2699,48.69,17,0.25628942251205444,-0.02593127451837063,13500,2700,,
0.0007,3.0960476578911766e-05,775,3.2281817999999998,-0.2600003182888031,2799,48.69,18,0.9953342443332076,-0.00025409567751921713,14000,2800,,
0.0007,5.349115235731006e-05,774,3.24319087,-0.1625165045261383,2899,48.69,18,0.9981695164460689,-0.00022176545462571084,14500,2900,,
0.0007,4.479529707168695e-06,,,-0.34765246510505676,2999,,,0.9994093626155518,-0.00017307976668234915,15000,,2.5,50.0
,,771,3.012799760000001,,,49.12,19,,,15000,3000,,
0.0007,0.00024220094201155007,772,2.696472,-0.3223170042037964,3099,49.82,20,0.9904247634112835,-0.0014081101398915052,15500,3100,,
0.0007,1.090760974875593e-06,772,2.6001070799999995,-0.1648726910352707,3199,49.98,20,0.9997102588240523,-1.3944612874183804e-05,16000,3200,,
0.0007,1.8069162251777016e-05,773,2.48848656,-0.15638379752635956,3299,50.0,21,0.997562107630074,-0.00010398594895377755,16500,3300,,
0.0007,8.338703628396615e-05,775,2.47037701,-0.3837738633155823,3399,50.0,21,0.9766655396670103,-0.0006880824221298099,17000,3400,,
0.0007,0.01452922634780407,776,2.5042725,-0.17615997791290283,3499,50.0,22,-1.1255574226379395,-0.12215735018253326,17500,3500,,
0.0007,0.0007055063033476472,776,2.5224951900000003,-0.14746592938899994,3599,50.0,23,0.96911277808249,0.05311769247055054,18000,3600,,
0.0007,4.294875907362439e-05,778,2.5595247700000003,-0.35207587480545044,3699,50.0,23,0.9978467165492475,-0.0006494101835414767,18500,3700,,
0.0007,5.419126318884082e-05,777,2.5780462699999998,-0.21782520413398743,3799,50.0,24,0.9859039699658751,-0.00027089161449112,19000,3800,,
0.0007,0.000225106326979585,779,2.58189264,-0.1150076761841774,3899,50.0,25,0.9990654561552219,-0.00034670153399929404,19500,3900,,
0.0007,1.7801761714508757e-05,,,-0.035501353442668915,3999,,,0.9955501798540354,1.5764962881803513e-05,20000,,2.5,50.0
,,775,2.57953472,,,50.0,25,,,20000,4000,,
0.0007,1.7035225027939305e-05,777,2.57503825,-0.07306747138500214,4099,50.0,26,0.999597515037749,-5.307628816808574e-05,20500,4100,,
0.0007,2.1002928406232968e-05,775,2.5722678400000003,-0.19709512591362,4199,50.0,27,0.991105847992003,3.0215178412618116e-05,21000,4200,,
0.0007,0.000273834535619244,772,2.57328637,-0.12365154922008514,4299,50.0,27,0.9934812868013978,-0.013219664804637432,21500,4300,,
0.0007,1.5059316865517758e-05,768,2.58361504,-0.21029189229011536,4399,50.0,28,0.9978962417226285,0.0033616158179938793,22000,4400,,
0.0007,4.955467375111766e-05,765,2.58441141,-0.1333068311214447,4499,50.0,29,0.992675538174808,-0.00016292424697894603,22500,4500,,
0.0007,0.0008444441482424736,762,2.5946207599999997,-0.16866442561149597,4599,50.0,30,0.9579877629876137,-0.008443253114819527,23000,4600,,
0.0007,7.467959221685305e-05,758,2.59004412,-0.22443601489067078,4699,50.0,30,0.9727169498801231,-9.767775190994143e-05,23500,4700,,
0.0007,0.00012144426727900282,757,2.5854264999999996,-0.13693419098854065,4799,50.0,31,0.9960076343268156,0.0003116637235507369,24000,4800,,
0.0007,0.0001147496368503198,757,2.58853495,-0.20363657176494598,4899,50.0,32,0.9593560919165611,-0.00028527691029012203,24500,4900,,
