rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/loss,train/learning_rate
29.25,7890,0,117,0.9944425000000006,3.3680825000000003,4,,,,,
31.625,7695,0,253,0.9879825000000004,2.68166725,8,,,,,
31.166666666666668,7688,0,374,0.9822349999999996,3.148165,12,,,,,
33.0625,7630,0,529,0.9748724999999999,3.164668625,16,,,,,
32.15,7598,0,643,0.9694575000000003,3.2209011000000003,20,,,,,
31.916666666666668,7582,0,766,0.963615,3.374682791666667,24,,,,,
32.964285714285715,7625,0,923,0.9561574999999997,3.3133625,28,,,,,
32.90625,7524,0,1053,0.9499825000000004,3.346647625,32,,,,,
32.638888888888886,7516,0,1175,0.9441875000000004,3.2965611666666668,36,,,,,
32.6,7535,0,1304,0.9380600000000003,3.339712325,40,,,,,
32.56818181818182,7568,0,1433,0.9319325000000003,3.3534886818181815,44,,,,,
33.1875,7616,0,1593,0.9243325,3.2801368958333335,48,,,,,
33.44230769230769,7640,0,1739,0.9173975,3.2813867692307688,52,,,,,
33.69642857142857,7666,0,1887,0.9103675000000002,3.234827785714286,56,,,,,
33.85,7660,0,2031,0.9035274999999998,3.1135668500000007,60,,,,,
33.8125,7677,0,2164,0.8972099999999995,3.1172419062500003,64,,,,,
33.85294117647059,7696,0,2302,0.8906549999999999,3.1119905882352943,68,,,,,
33.5,7691,0,2412,0.8854300000000004,3.1872119722222223,72,,,,,
33.71052631578947,7713,0,2562,0.8783050000000001,3.1910405,76,,,,,
33.5,7728,0,2680,0.8727000000000003,3.2305156625,80,,,,,
33.57142857142857,7752,0,2820,0.86605,3.2202223214285715,84,,,,,
33.20454545454545,7758,0,2922,0.8612049999999999,3.268546011363637,88,,,,,
33.26086956521739,7764,0,3060,0.8546500000000002,3.275321869565218,92,,,,,
33.104166666666664,6268,0,3178,0.8490450000000004,3.3258397708333334,96,,,,,
32.94,6292,0,3294,0.8435350000000001,3.3439694600000003,100,,,,,
33.3,6317,0,3447,0.8362675,3.2482029299999993,104,,,,,
33.38,6366,0,3591,0.8294275000000005,3.30188838,108,,,,,
33.65,6420,0,3739,0.8223974999999999,3.2611533799999997,112,,,,,
33.46,6482,0,3875,0.8159374999999998,3.27443783,116,,,,,
33.68,6503,0,4011,0.8094774999999996,3.23991751,120,,,,,
33.89,6553,0,4155,0.8026375000000001,3.16883577,124,,,,,
33.5,6270,0,4273,0.7970325000000004,3.2078175,128,,,,,
33.47,6233,0,4400,0.7909999999999998,3.1902416500000004,132,,,,,
33.76,6272,0,4551,0.7838275000000003,3.1370635,136,,,,,
34.01,6332,0,4705,0.7765124999999998,3.08696324,140,,,,,
34.23,6379,0,4856,0.7693400000000004,2.9935009799999994,144,,,,,
,,,5000,0.7625475000000002,,,2.5,50.0,,,
34.15,5765,0,5008,0.7621200000000005,3.023600060000001,148,,,,,
34.09,5816,0,5148,0.7554700000000002,3.0335767899999997,152,,,,,
34.39,5860,0,5326,0.7470149999999995,2.99913003,156,,,,,
34.09,5875,0,5440,0.7416,3.1223620899999998,160,,,,,
34.23,5914,0,5587,0.7346174999999996,3.06318634,164,,,,,
34.62,5962,0,5764,0.7262100000000005,2.97085238,168,,,,,
34.85,5999,0,5897,0.7198925000000002,2.92068123,172,,,,,
34.92,6039,1,6054,0.7124349999999998,2.849744989999999,176,,,,,
35.13,6076,1,6193,0.7058324999999999,2.81402072,180,,,,,
35.3,6124,1,6350,0.6983750000000006,2.8149577,184,,,,,
35.73,6165,1,6495,0.6914874999999998,2.7693766000000006,188,,,,,
35.74,6203,1,6634,0.6848849999999997,2.7541323699999993,192,,,,,
36.38,6244,1,6816,0.6762400000000001,2.55514962,196,,,,,
36.61,5845,1,6955,0.6696375000000001,2.4574009000000006,200,,,,,
36.43,5868,1,7090,0.6632250000000002,2.5514861900000003,204,,,,,
36.37,5901,1,7228,0.6566700000000005,2.4790485799999997,208,,,,,
36.14,5924,1,7353,0.6507324999999996,2.4845390999999997,212,,,,,
36.19,5957,1,7494,0.6440349999999999,2.4479879799999997,216,,,,,
36.07,5985,1,7618,0.6381450000000004,2.4903753400000004,220,,,,,
36.22,6011,1,7777,0.6305924999999994,2.4485356400000002,224,,,,,
36.45,6031,1,7918,0.6238949999999999,2.42405548,228,,,,,
36.66,6054,1,8066,0.6168650000000002,2.43076285,232,,,,,
