rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/loss,train/learning_rate
42.0,9083,0,168,0.9920200000000005,2.7889294999999996,4,,,,,
40.875,8728,0,327,0.9844674999999995,2.74292375,8,,,,,
38.916666666666664,8845,0,467,0.9778175000000002,2.9278293333333334,12,,,,,
38.875,8571,0,622,0.9704550000000005,2.9632870625,16,,,,,
38.5,8410,0,770,0.9634249999999999,2.98098295,20,,,,,
38.458333333333336,8341,0,923,0.9561574999999997,2.820977708333333,24,,,,,
38.214285714285715,8209,0,1070,0.9491750000000003,2.8485459642857145,28,,,,,
38.4375,8246,0,1230,0.9415750000000002,2.6831052812499996,32,,,,,
38.083333333333336,8233,0,1371,0.9348774999999995,2.699087805555555,36,,,,,
37.125,8255,0,1485,0.9294624999999999,2.839581025,40,,,,,
36.77272727272727,8238,0,1618,0.9231449999999997,2.921997340909091,44,,,,,
36.25,8206,0,1740,0.9173499999999997,2.978180395833333,48,,,,,
36.46153846153846,8200,0,1896,0.9099399999999995,2.8521370769230763,52,,,,,
36.5,8155,0,2044,0.90291,2.8581775,56,,,,,
35.86666666666667,8139,0,2152,0.8977800000000001,2.9289080666666663,60,,,,,
35.8125,8187,0,2292,0.8911299999999998,2.97316515625,64,,,,,
35.86764705882353,8209,0,2439,0.8841475000000004,2.9960574852941173,68,,,,,
36.06944444444444,8208,0,2597,0.8766424999999998,2.9707381805555553,72,,,,,
35.8421052631579,8206,0,2724,0.8706100000000003,2.9990285,76,,,,,
35.975,8237,0,2878,0.8632949999999999,2.9467638750000003,80,,,,,
35.857142857142854,8222,0,3012,0.8569300000000004,2.905942642857143,84,,,,,
35.79545454545455,8229,0,3150,0.8503749999999997,2.9214567840909096,88,,,,,
35.92391304347826,8238,0,3305,0.8430124999999999,2.872914141304349,92,,,,,
35.916666666666664,8248,0,3448,0.8362199999999997,2.871113322916667,96,,,,,
35.8,8252,0,3580,0.8299499999999997,2.89177753,100,,,,,
35.7,8269,0,3738,0.8224450000000002,2.84315001,104,,,,,
35.31,8192,0,3858,0.8167449999999997,2.88512546,108,,,,,
35.5,8115,0,4017,0.8091924999999999,2.8599184599999994,112,,,,,
35.0,8077,0,4122,0.8042049999999998,2.923244420000001,116,,,,,
34.85,8016,0,4255,0.7978874999999996,2.939770800000001,120,,,,,
34.82,8014,0,4405,0.7907625000000004,2.9057234500000004,124,,,,,
34.61,8008,0,4531,0.7847775000000001,2.9211726000000002,128,,,,,
34.49,8034,0,4679,0.7777474999999995,2.9547167,132,,,,,
