train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0007,0.35590022802352905,1049,3.9016131884057974,-1.4009265899658203,99,28.92753623188406,1,-1.3140127658843994,-0.6553136110305786,2000,100,,
0.0007,0.011966775171458721,1093,5.404326289999999,-0.16420793533325195,199,20.04,3,0.9080707803368568,0.0027136034332215786,4000,200,,
0.0007,0.002679524477571249,,,-0.0698423758149147,249,,,0.9061852321028709,0.0004265015013515949,5000,,5.553794600000001,17.8
0.0007,0.0033148687798529863,1066,5.5768280500000005,-0.04048551246523857,299,19.23,5,-0.1923152208328247,-4.039013947476633e-05,6000,300,,
0.0007,0.0012225236278027296,1108,5.60395382,-0.036707110702991486,399,19.05,7,0.902601532638073,-3.4018015867331997e-05,8000,400,,
0.0007,0.004884209483861923,,,-0.02288283407688141,499,,,0.8902441710233688,0.00016066459647845477,10000,,5.5766018,18.2
,,1137,5.60530843,,,19.09,8,,,10000,500,,
0.0007,0.005187870003283024,1171,5.60935646,-0.026283586397767067,599,19.01,10,-0.13273656368255615,2.288996802235488e-05,12000,600,,
0.0007,0.0014727726811543107,1194,5.618013820000001,-0.013814890757203102,699,19.34,11,0.9791803508996964,5.007439904147759e-05,14000,700,,
0.0007,0.0028760679997503757,,,-0.013897882774472237,749,,,0.8183734118938446,-6.773074710508808e-05,15000,,5.618845800000001,19.0
0.0007,0.00032614971860311925,1205,5.621224830000001,-0.007353504654020071,799,19.47,13,0.7947704792022705,-1.0164700370296487e-06,16000,800,,
0.0007,0.0009952110704034567,1219,5.59377177,-0.0045984042808413506,899,18.62,14,0.9072605967521667,9.407825700691319e-07,18000,900,,
0.0007,0.0027193021960556507,,,-0.003548369510099292,999,,,0.8987382277846336,1.334753142145928e-05,20000,,5.616125200000001,19.4
,,1225,5.62031384,,,19.31,16,,,20000,1000,,
0.0007,0.0007589826127514243,1231,5.61973667,-0.003070165403187275,1099,19.32,17,0.911557987332344,-5.0417206693964545e-06,22000,1100,,
0.0007,0.012343530543148518,1242,5.61394588,-0.0031791869550943375,1199,19.18,19,0.8009006083011627,-2.8866954380646348e-05,24000,1200,,
