rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/loss,train/learning_rate
34.0,8342,0,136,0.9935399999999999,3.15791275,4,,,,,
34.875,8158,0,279,0.9867474999999997,3.022111125,8,,,,,
33.583333333333336,8061,0,403,0.9808575000000002,3.1720283333333334,12,,,,,
32.5625,7902,0,521,0.9752525000000003,3.3461841874999996,16,,,,,
32.85,7922,0,657,0.9687925000000002,3.0608001499999995,20,,,,,
31.541666666666668,7788,0,757,0.9640424999999997,3.2962937500000002,24,,,,,
31.142857142857142,7793,0,872,0.9585799999999998,3.3981461071428574,28,,,,,
31.5,7756,0,1008,0.9521199999999996,3.40742984375,32,,,,,
31.77777777777778,7767,0,1144,0.9456600000000005,3.261705666666667,36,,,,,
31.925,7776,0,1277,0.9393425000000003,3.3430760249999993,40,,,,,
32.29545454545455,7769,0,1421,0.9325024999999998,3.3511189090909084,44,,,,,
32.354166666666664,7746,0,1553,0.9262324999999998,3.3484634583333333,48,,,,,
33.03846153846154,7825,0,1718,0.9183950000000001,3.2298511153846152,52,,,,,
32.964285714285715,7847,0,1846,0.9123150000000004,3.2633713214285716,56,,,,,
33.71666666666667,7864,0,2023,0.9039075000000001,3.1365189166666667,60,,,,,
34.328125,7913,0,2197,0.8956424999999998,2.9315329375,64,,,,,
34.51470588235294,7947,0,2347,0.8885174999999995,2.9261690735294117,68,,,,,
34.77777777777778,7948,0,2504,0.8810600000000003,2.8937973472222223,72,,,,,
34.8421052631579,7962,0,2648,0.8742199999999998,2.906047328947368,76,,,,,
34.7625,7976,0,2781,0.8679024999999995,2.9328711375,80,,,,,
34.69047619047619,7975,0,2914,0.8615850000000003,2.9184447976190473,84,,,,,
34.95454545454545,7978,0,3076,0.8538900000000005,2.9473099545454544,88,,,,,
35.21739130434783,8018,0,3240,0.8461000000000001,2.868472423913044,92,,,,,
35.302083333333336,8032,0,3389,0.8390225000000001,2.835863875,96,,,,,
35.21,7967,0,3521,0.8327525000000002,2.83766935,100,,,,,
34.95,7913,0,3631,0.8275274999999997,2.8475101800000004,104,,,,,
35.0,7921,0,3779,0.8204975000000001,2.8666287799999997,108,,,,,
35.23,7895,0,3926,0.8135149999999997,2.7614338,112,,,,,
35.42,7844,0,4063,0.8070075000000003,2.6695272499999994,116,,,,,
35.33,7832,0,4190,0.8009749999999998,2.73602171,120,,,,,
35.76,7845,0,4333,0.7941824999999996,2.70492838,124,,,,,
35.93,7850,0,4465,0.7879124999999997,2.6763398499999993,128,,,,,
36.18,7861,0,4626,0.7802650000000002,2.58559212,132,,,,,
36.35,7885,0,4779,0.7729975,2.6509315399999998,136,,,,,
36.41,7899,0,4918,0.766395,2.5747986700000003,140,,,,,
,,,5000,0.7625475000000002,,,-1.0,50.0,,,
36.34,6943,0,5055,0.7598874999999996,2.51052456,144,,,,,
36.14,6507,0,5167,0.7545674999999995,2.4825529,148,,,,,
35.82,6448,0,5300,0.7482500000000003,2.4867023600000007,152,,,,,
35.81,6473,0,5427,0.7422174999999999,2.4952593400000005,156,,,,,
35.32,6493,0,5555,0.7361375000000001,2.5417918000000004,160,,,,,
34.86,6517,0,5683,0.7300575000000002,2.7070322900000003,164,,,,,
34.79,6548,0,5826,0.723265,2.7151825700000005,168,,,,,
34.71,6582,0,5975,0.7161875000000002,2.74466811,172,,,,,
34.45,6597,0,6093,0.7105825000000003,2.7694729799999993,176,,,,,
34.29,6597,0,6210,0.7050249999999998,2.7696554999999994,180,,,,,
34.54,6619,0,6368,0.6975200000000001,2.6900798799999994,184,,,,,
34.46,6636,0,6522,0.6902049999999997,2.5942600200000006,188,,,,,
34.16,6658,0,6656,0.6838400000000002,2.69346811,192,,,,,
33.94,6678,1,6783,0.6778074999999998,2.75571483,196,,,,,
34.24,6707,1,6945,0.6701125,2.77752303,200,,,,,
34.5,6727,1,7081,0.6636524999999998,2.7745344100000007,204,,,,,
34.34,6749,1,7213,0.6573824999999999,2.7647458600000006,208,,,,,
34.16,6768,1,7342,0.6512549999999999,2.8913523100000003,212,,,,,
34.1,6791,1,7473,0.6450325000000002,2.98110129,216,,,,,
34.33,6804,1,7623,0.6379075,2.95479503,220,,,,,
34.25,6822,1,7758,0.6314950000000001,2.94857053,224,,,,,
34.52,6845,1,7917,0.6239425000000003,2.90793404,228,,,,,
34.32,6851,1,8058,0.6172449999999996,2.98529951,232,,,,,
34.11,6864,1,8190,0.6109749999999996,2.96740617,236,,,,,
34.25,6888,1,8343,0.6037075000000005,2.93170789,240,,,,,
34.2,6905,1,8475,0.5974374999999995,3.0068071300000003,244,,,,,
34.52,6917,1,8619,0.5905975000000001,3.0394796000000004,248,,,,,
34.72,6938,1,8772,0.5833299999999999,3.0587134600000003,252,,,,,
34.87,6952,1,8914,0.5765850000000001,2.94206498,256,,,,,
