rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/loss,train/learning_rate
43.5,8897,0,174,0.9917349999999996,1.24259475,4,,,,,
40.875,8439,0,327,0.9844674999999995,1.9022938750000002,8,,,,,
40.75,8470,0,489,0.9767724999999997,2.2520615833333335,12,,,,,
38.6875,8346,0,619,0.9705975000000004,2.730684125,16,,,,,
38.15,8314,0,763,0.9637574999999999,2.9025241,20,,,,,
37.666666666666664,8251,0,904,0.9570600000000004,2.8555582916666666,24,,,,,
36.607142857142854,7130,0,1025,0.9513124999999996,3.0129463571428574,28,,,,,
37.125,6664,0,1188,0.9435700000000006,2.8979424687499997,32,,,,,
37.833333333333336,6699,0,1362,0.9353050000000002,2.580476333333333,36,,,,,
38.275,6764,0,1531,0.9272775000000003,2.49772675,40,,,,,
38.13636363636363,6825,0,1678,0.920295,2.577740886363636,44,,,,,
37.604166666666664,6898,0,1805,0.9142625000000005,2.6121045208333333,48,,,,,
37.98076923076923,7023,0,1975,0.9061875000000004,2.553541692307692,52,,,,,
37.857142857142854,7059,0,2120,0.8992999999999995,2.556930339285714,56,,,,,
37.516666666666666,7080,0,2251,0.8930774999999999,2.6155038,60,,,,,
37.703125,7183,0,2413,0.8853825000000001,2.52767515625,64,,,,,
37.61764705882353,7240,0,2558,0.8784950000000004,2.5716368382352943,68,,,,,
37.55555555555556,7267,0,2704,0.8715600000000002,2.5971519305555555,72,,,,,
37.18421052631579,7279,0,2826,0.8657650000000002,2.6656078026315786,76,,,,,
37.0375,7315,0,2963,0.8592574999999998,2.7036215374999997,80,,,,,
36.666666666666664,7337,0,3080,0.8537000000000003,2.7596529642857144,84,,,,,
36.75,7378,0,3234,0.8463849999999998,2.784445181818182,88,,,,,
36.65217391304348,7416,0,3372,0.8398300000000002,2.811767923913044,92,,,,,
36.364583333333336,7438,0,3491,0.8341775,2.844644666666667,96,,,,,
36.44,7477,0,3644,0.8269099999999999,2.8664654600000006,100,,,,,
36.25,7518,0,3799,0.8195475000000001,2.8774339700000002,104,,,,,
36.18,7552,0,3945,0.8126125000000001,2.8867122699999994,108,,,,,
36.04,7573,0,4093,0.8055825000000004,2.8102650599999994,112,,,,,
36.04,7593,0,4223,0.7994075,2.7616353500000006,116,,,,,
36.17,7563,0,4380,0.7919499999999997,2.72597757,120,,,,,
35.84,7570,0,4488,0.7868199999999999,2.773330369999999,124,,,,,
36.33,7609,0,4658,0.7787449999999997,2.6835288200000003,128,,,,,
36.2,7586,0,4808,0.7716200000000005,2.6633201599999996,132,,,,,
35.5,7548,0,4912,0.7666799999999998,2.82870743,136,,,,,
,,,5000,0.7625475000000002,,,5.5829832,18.6,,,
35.07,7022,0,5038,0.7606949999999996,2.89896616,140,,,,,
34.62,7033,0,5140,0.7558499999999995,2.9395549699999997,144,,,,,
34.54,7054,0,5259,0.7501975000000004,2.9606790399999996,148,,,,,
34.31,7086,0,5406,0.7432150000000001,3.0099563699999994,152,,,,,
34.51,7125,0,5571,0.7353775000000004,2.91846842,156,,,,,
34.8,7156,0,5731,0.7277775000000002,2.8864376600000003,160,,,,,
34.84,7189,0,5897,0.7198925000000002,2.86537011,164,,,,,
34.82,7216,0,6040,0.7131,2.8007146,168,,,,,
34.76,7238,0,6180,0.7064499999999997,2.7712900400000002,172,,,,,
34.83,7236,0,6309,0.7003224999999995,2.76074783,176,,,,,
34.74,7239,0,6437,0.6942424999999999,2.7766477700000003,180,,,,,
34.81,7241,0,6561,0.6883525000000003,2.7469351600000005,184,,,,,
34.64,7258,0,6698,0.6818449999999998,2.7076405300000004,188,,,,,
34.72,7279,0,6844,0.6749099999999998,2.6455247,192,,,,,
34.88,7295,0,6979,0.6684975,2.5673371899999995,196,,,,,
34.83,7298,0,7127,0.6614675000000003,2.51408787,200,,,,,
34.59,7317,0,7258,0.6552449999999996,2.5675440500000004,204,,,,,
34.5,7335,1,7395,0.6487375000000002,2.58869077,208,,,,,
34.57,7300,1,7550,0.6413750000000005,2.60570967,212,,,,,
34.69,7306,1,7692,0.6346299999999996,2.59054689,216,,,,,
34.63,7295,1,7843,0.6274575,2.5539673999999994,220,,,,,
35.04,7255,1,7992,0.62038,2.48524871,224,,,,,
34.68,7214,1,8126,0.6140150000000006,2.52313666,228,,,,,
34.32,7226,1,8240,0.6085999999999998,2.6165702299999998,232,,,,,
34.8,7243,1,8392,0.60138,2.5558412799999997,236,,,,,
35.04,7261,1,8542,0.5942549999999998,2.568088559999999,240,,,,,
35.38,7269,1,8678,0.5877949999999996,2.4932255100000003,244,,,,,
35.84,7271,1,8843,0.5799575,2.4289863,248,,,,,
35.87,7266,1,8993,0.5728324999999996,2.4133630399999997,252,,,,,
35.55,7271,1,9126,0.5665150000000005,2.53911716,256,,,,,
35.1,7280,1,9241,0.5610524999999995,2.5939052899999995,260,,,,,
34.91,7295,1,9388,0.5540700000000003,2.6668000599999995,264,,,,,
34.73,7300,1,9513,0.5481325000000004,2.7745678499999995,268,,,,,
34.52,7312,1,9632,0.5424800000000003,2.81903657,272,,,,,
34.6,7328,1,9769,0.5359724999999997,2.7616725300000002,276,,,,,
34.78,7342,1,9915,0.5290374999999996,2.68092578,280,,,,,
,,,10000,0.5250474999999999,,,5.5856752,17.8,,,
35.04,6946,1,10065,0.5219125000000004,2.6746669999999995,284,,,,,
35.06,6964,1,10204,0.5153100000000004,2.677325,288,,,,,
35.03,6981,1,10347,0.5085175000000002,2.7337539200000003,292,,,,,
35.38,7000,1,10517,0.5004425000000001,2.7557180299999993,296,,,,,
35.14,7013,1,10641,0.4945525000000006,2.828932290000001,300,,,,,
35.09,7023,1,10767,0.4885675000000004,2.85883995,304,,,,,
35.19,7036,1,10914,0.48158499999999993,2.8201515100000005,308,,,,,
35.19,7043,1,11069,0.4742225000000002,2.8843000300000003,312,,,,,
35.34,7059,1,11226,0.466765,2.8157203000000006,316,,,,,
35.05,7068,1,11348,0.46097,2.9008991,320,,,,,
35.37,7093,1,11529,0.4523725000000006,2.8400372299999996,324,,,,,
35.59,7108,1,11685,0.4449625000000006,2.81896275,328,,,,,
35.9,7124,1,11830,0.43807499999999966,2.7828765599999996,332,,,,,
35.78,7130,1,11970,0.4314250000000005,2.8059637100000003,336,,,,,
35.43,7133,1,12085,0.4259625000000006,2.79947623,340,,,,,
35.13,7140,1,12191,0.42092750000000023,2.8531476000000002,344,,,,,
34.62,7137,1,12305,0.4155124999999995,2.92932596,348,,,,,
34.61,7149,1,12454,0.40843499999999966,2.9421812899999997,352,,,,,
34.92,7162,1,12618,0.40064500000000025,2.8873537999999996,356,,,,,
35.22,7172,1,12763,0.3937575000000004,2.780493720000001,360,,,,,
35.06,7183,1,12894,0.38753499999999985,2.7779683399999997,364,,,,,
35.0,7186,1,13013,0.3818824999999997,2.7493508700000002,368,,,,,
35.18,7197,1,13150,0.37537500000000024,2.7624173399999994,372,,,,,
35.2,7200,1,13289,0.3687725000000003,2.8014731899999994,376,,,,,
35.31,7209,1,13446,0.36131499999999994,2.8094749500000002,380,,,,,
