train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0007,0.16265180706977844,779,3.092997071428571,-1.8124256134033203,99,35.0,0,0.2610330581665039,-0.6752210855484009,500,100,,
0.0007,0.009280865080654621,801,2.44162775,-0.266701877117157,199,41.125,1,-1.2204489707946777,0.004305313341319561,1000,200,,
0.0007,5.8215831813868135e-05,806,2.419536382352941,-0.11951541900634766,299,43.73529411764706,1,-2.2614781856536865,0.00010696619574446231,1500,300,,
0.0007,0.002118587028235197,816,2.435602727272727,-0.07716743648052216,399,45.15909090909091,2,-32.156578063964844,-0.00046608044067397714,2000,400,,
0.0007,0.0011103104334324598,821,2.4492049444444444,-0.14559409022331238,499,46.05555555555556,3,0.6777158677577972,-0.0007518373313359916,2500,500,,
0.0007,0.000422957178670913,826,2.487621921875,-0.8213661909103394,599,46.5625,3,0.8028797507286072,-0.011567218229174614,3000,600,,
0.0007,7.762141467537731e-05,823,3.1172456049382715,-0.5622325539588928,699,42.839506172839506,4,0.052171945571899414,-0.003042209893465042,3500,700,,
0.0007,0.03157854825258255,825,3.68403037,-0.7710223197937012,799,39.6,4,0.2108864188194275,-0.3090638220310211,4000,800,,
0.0007,0.0002825959527399391,828,4.23670635,-0.8527196049690247,899,38.81,5,0.8034425973892212,0.011528240516781807,4500,900,,
0.0007,3.3794458431657404e-05,,,-0.7457876801490784,999,,,0.9911447186022997,0.003944023046642542,5000,,2.5,50.0
,,814,4.771257960000001,,,37.12,6,,,5000,1000,,
0.0007,0.0004713270755019039,816,4.7954659600000005,-0.3384515345096588,1099,37.07,6,0.9952824460342526,0.00029374781297519803,5500,1100,,
0.0007,0.002321019768714905,818,4.791396420000001,-0.471118301153183,1199,37.07,7,0.992727177683264,0.004454851150512695,6000,1200,,
0.0007,0.00023573062208015472,820,4.780776370000001,-0.5337001085281372,1299,37.07,7,0.9990131441736594,0.009297825396060944,6500,1300,,
0.0007,0.00960420724004507,823,4.60587018,-0.35811010003089905,1399,37.93,8,0.9785645846277475,-0.00199289433658123,7000,1400,,
0.0007,8.45244649099186e-05,826,4.26171029,-0.10809121280908585,1499,40.42,9,0.9999248051753966,0.00013603104162029922,7500,1500,,
0.0007,0.00022409546363633126,829,3.9271946099999995,-0.1249254122376442,1599,42.9,9,0.9996132865198888,-0.00024102239694911987,8000,1600,,
0.0007,4.9148853577207774e-05,831,3.5829897900000005,-0.12897852063179016,1699,45.35,10,0.9998964636397432,-9.522326763544697e-06,8500,1700,,
0.0007,0.0010420095641165972,831,3.2242556500000012,-0.29582399129867554,1799,47.26,10,0.9982101580826566,-0.0003990558034274727,9000,1800,,
0.0007,0.00012054912804160267,834,2.8371696099999997,-0.24281951785087585,1899,48.73,11,0.9997989924740978,-0.00019793638784904033,9500,1900,,
0.0007,0.005255500320345163,,,-0.1396329253911972,1999,,,0.9884352134540677,0.0014465255662798882,10000,,2.5,50.0
,,827,2.49140913,,,49.95,12,,,10000,2000,,
0.0007,0.00013831350952386856,830,2.48043576,-0.21018239855766296,2099,50.0,12,0.9997785516025033,-0.0004648389876820147,10500,2100,,
0.0007,0.00019145570695400238,831,2.49080278,-0.2354847639799118,2199,50.0,13,0.9999036689914647,-0.0006576851010322571,11000,2200,,
0.0007,0.000487572600832209,834,2.50381203,-0.1545526683330536,2299,50.0,13,0.9995343984046485,-0.000559405074454844,11500,2300,,
0.0007,9.957194561138749e-05,835,2.5252030000000003,-0.14166827499866486,2399,50.0,14,0.9997749948670389,-9.80818658717908e-05,12000,2400,,
0.0007,0.00035513663897290826,836,2.5436218399999997,-0.2510690689086914,2499,50.0,14,0.9992462450754829,0.0011962965363636613,12500,2500,,
0.0007,0.000119859840197023,837,2.54590678,-0.15677376091480255,2599,50.0,15,0.9999402218236355,0.0004189282772131264,13000,2600,,
0.0007,0.0006066081114113331,837,2.5561756200000003,-0.1540004462003708,2699,50.0,16,0.9986306799110025,5.098583642393351e-06,13500,2700,,
0.0007,0.0017999218543991446,837,2.55305935,-0.07294166088104248,2799,50.0,16,0.9853406865149736,0.0004128030559513718,14000,2800,,
0.0007,6.638173363171518e-05,838,2.5623990000000005,-0.1009502038359642,2899,50.0,17,0.9997425601177383,0.00023045504349283874,14500,2900,,
0.0007,4.318144783610478e-05,,,-0.18402530252933502,2999,,,0.9998923580496921,8.408873327425681e-06,15000,,2.5,50.0
,,833,2.5651144300000004,,,50.0,18,,,15000,3000,,
0.0007,0.00010277422552462667,833,2.5597740900000003,-0.15515382587909698,3099,50.0,18,0.999803360333317,0.00687475735321641,15500,3100,,
0.0007,0.00015081076708156615,834,2.5662845499999998,-0.1267796754837036,3199,50.0,19,0.9999894608699833,0.0005033771740272641,16000,3200,,
0.0007,0.0005103087751194835,833,2.5776853999999996,-0.07223880290985107,3299,50.0,19,0.9975207969546318,0.0005114534869790077,16500,3300,,
0.0007,6.29947753623128e-05,834,2.58366286,-0.18354518711566925,3399,50.0,20,0.9998727294005221,-0.00028175278566777706,17000,3400,,
0.0007,0.0008894059574231505,835,2.5865709699999995,-0.06227617710828781,3499,50.0,20,0.992211852222681,0.0005190132069401443,17500,3500,,
0.0007,0.0011279222089797258,836,2.5877562,-0.14357392489910126,3599,50.0,21,0.9989546132273972,0.005536527372896671,18000,3600,,
0.0007,0.00016145847621373832,837,2.59797008,-0.15055236220359802,3699,50.0,22,0.9996147178171668,0.0007836282020434737,18500,3700,,
0.0007,0.0005886289291083813,838,2.60808071,-0.07182304561138153,3799,50.0,22,0.996429949067533,-0.0008781117503531277,19000,3800,,
0.0007,0.0015794606879353523,839,2.6119084799999994,-0.09532641619443893,3899,50.0,23,0.9733715206384659,0.002591305412352085,19500,3900,,
0.0007,4.712149529950693e-05,,,-0.15022321045398712,3999,,,0.9997566502424888,-0.0013465267838910222,20000,,2.5694470000000003,50.0
,,836,2.61637816,,,50.0,23,,,20000,4000,,
0.0007,0.0002958435215987265,836,2.623898649999999,-0.14730128645896912,4099,50.0,24,0.9985753381624818,0.003553176997229457,20500,4100,,
0.0007,9.844421583693475e-05,835,2.6160825899999995,-0.15092790126800537,4199,50.0,25,0.9994593584560789,-0.0008592127123847604,21000,4200,,
0.0007,0.0001258191477973014,835,2.62266279,-0.12864938378334045,4299,50.0,25,0.9987806740682572,0.0010205658618360758,21500,4300,,
0.0007,0.0002811954473145306,835,2.6220691899999995,-0.0350734181702137,4399,50.0,26,0.9934241124428809,0.00027493303059600294,22000,4400,,
0.0007,0.00010453474533278495,834,2.6172178499999994,-0.13742169737815857,4499,50.0,26,0.9991277318331413,0.001338286092504859,22500,4500,,
0.0007,2.303326255059801e-05,833,2.62719232,-0.10432858765125275,4599,50.0,27,0.9996909567853436,-0.00016719083942007273,23000,4600,,
0.0007,1.5650966815883294e-05,831,2.6304173299999998,-0.1069166511297226,4699,50.0,28,0.9997467685025185,-0.0001920428330777213,23500,4700,,
0.0007,0.00011225081834709272,831,2.63599068,-0.06358440965414047,4799,50.0,28,0.9976097724866122,0.0004134529735893011,24000,4800,,
0.0007,2.1371177354012616e-05,831,2.63699675,-0.10912449657917023,4899,50.0,29,0.9988970081321895,0.00045669457176700234,24500,4900,,
0.0007,0.0003101997426711023,,,-0.0867282897233963,4999,,,0.9764006063342094,-0.015033526346087456,25000,,2.6856777999999997,50.0
,,827,2.6471740900000005,,,50.0,30,,,25000,5000,,
0.0007,2.2575291950488463e-05,827,2.64766281,-0.031790271401405334,5099,50.0,30,0.9998210834019119,-5.03822993778158e-05,25500,5100,,
0.0007,2.0395495084812865e-05,827,2.6640748100000002,-0.12893550097942352,5199,50.0,31,0.9995300350128673,-0.0004021094646304846,26000,5200,,
0.0007,0.0002488723548594862,827,2.6563963300000006,-0.1137237399816513,5299,50.0,32,0.9745160080492496,-0.009931634180247784,26500,5300,,
0.0007,0.00024100842711050063,828,2.65639045,-0.011477842926979065,5399,50.0,32,0.9750520829111338,5.6926190154626966e-05,27000,5400,,
0.0007,0.0009104313212446868,827,2.6578254099999996,-0.04646150395274162,5499,50.0,33,0.8263133317232132,0.0007976354099810123,27500,5500,,
0.0007,7.16833455953747e-05,825,2.65784712,-0.021120814606547356,5599,50.0,33,0.9961782002355903,-7.284722960321233e-05,28000,5600,,
0.0007,9.29080051719211e-05,825,2.65610969,-0.006056312005966902,5699,50.0,34,0.9945483230985701,1.5960296877892688e-05,28500,5700,,
0.0007,7.954441389301792e-05,826,2.6508122700000003,-0.028091013431549072,5799,50.0,35,0.9876162307336926,-9.022410813486204e-05,29000,5800,,
0.0007,0.00013398219016380608,826,2.65057799,-0.00397536251693964,5899,50.0,35,0.9821535665541887,1.1288212590443436e-05,29500,5900,,
0.0007,2.225606749561848e-06,,,-0.003258485347032547,5999,,,0.9999602305178996,-1.2192299436719622e-07,30000,,2.7147632,50.0
,,823,2.64680923,,,50.0,36,,,30000,6000,,
0.0007,2.8871425456600264e-05,824,2.64633912,-0.008097153156995773,6099,50.0,37,0.9987842689733952,-1.404863542120438e-05,30500,6100,,
0.0007,5.4532167268916965e-05,824,2.64658923,-0.006883464753627777,6199,50.0,37,0.9852706966921687,1.4983279470470734e-05,31000,6200,,
0.0007,0.00029224567697383463,825,2.6466488000000004,-0.00619003688916564,6299,50.0,38,0.917625904083252,-3.2351228583138436e-05,31500,6300,,
0.0007,3.1846568163018674e-05,825,2.65722567,-0.003920368850231171,6399,50.0,38,0.9981036358512938,-5.856977168150479e-06,32000,6400,,
0.0007,3.0548755603376776e-05,825,2.66352432,-0.016575729474425316,6499,50.0,39,0.9966936225537211,3.6595287383534014e-05,32500,6500,,
0.0007,6.35689139016904e-05,826,2.6696491200000003,-0.0039685554802417755,6599,50.0,39,0.9934363774955273,-8.441814316029195e-06,33000,6600,,
0.0007,5.0119929255743045e-06,826,2.67392411,-0.00766294589266181,6699,50.0,40,0.9988559744087979,4.100312253285665e-06,33500,6700,,
0.0007,7.63863354222849e-05,826,2.67494454,-0.003313713241368532,6799,50.0,41,0.980929534882307,-7.502409516746411e-06,34000,6800,,
0.0007,0.00011450533929746598,827,2.6756455900000002,-0.0019295371603220701,6899,50.0,41,0.9871924808248878,4.8075694394356105e-06,34500,6900,,
0.0007,4.338487997301854e-06,,,-0.003967984579503536,6999,,,0.9993358610081486,1.8489035937818699e-06,35000,,2.6619086,50.0
,,825,2.6596637999999997,,,50.0,42,,,35000,7000,,
0.0007,8.926564987632446e-06,826,2.6566932000000008,-0.001610520645044744,7099,50.0,42,0.9989982658298686,1.0599446795822587e-06,35500,7100,,
