rollout/ep_len_mean,train/n_updates,time/iterations,time/total_timesteps,time/fps,train/explained_variance,rollout/ep_rew_mean,train/policy_loss,train/learning_rate,time/time_elapsed,train/entropy_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
26.105263157894736,99,100,2000,914,-0.23952877521514893,7.676315789473685,4.901939868927002,0.0003,2,-1.9410274028778076,9.515042304992676,,
25.85,199,200,4000,590,0.0466882586479187,7.67,-1.1157143115997314,0.0003,6,-1.9398199319839478,2.135786294937134,,
,249,,5000,,-0.10774409770965576,,0.0985577329993248,0.0003,,-1.9405142068862915,9.098094940185547,7.6,35.0
25.62,299,300,6000,689,0.147658109664917,7.650999999999999,-2.4151968955993652,0.0003,8,-1.941528081893921,4.335061550140381,,
25.61,399,400,8000,755,0.34773385524749756,7.665,-4.9611663818359375,0.0003,10,-1.9405810832977295,8.31714916229248,,
,499,,10000,,0.679206520318985,,-0.9185020327568054,0.0003,,-1.943041205406189,1.3250267505645752,7.6,32.0
26.45,,500,10000,808,,7.6579999999999995,,,12,,,,
25.28,599,600,12000,854,0.771591454744339,7.65,-2.6042373180389404,0.0003,14,-1.9386956691741943,2.6418938636779785,,
24.42,699,700,14000,894,0.18499541282653809,7.678000000000002,-0.9239886403083801,0.0003,15,-1.9044700860977173,3.520491361618042,,
,749,,15000,,0.5146665871143341,,1.4300564527511597,0.0003,,-1.834912657737732,5.979648590087891,7.8,13.0
22.78,799,800,16000,922,0.8546530306339264,7.688000000000001,-0.8212946057319641,0.0003,17,-1.7786529064178467,0.7965089082717896,,
19.21,899,900,18000,945,0.9570125676691532,7.7059999999999995,-0.06896736472845078,0.0003,19,-1.4475213289260864,0.1653434932231903,,
,999,,20000,,0.974291043356061,,0.06865125149488449,0.0003,,-0.6925983428955078,0.16032454371452332,7.8,13.0
15.42,,1000,20000,968,,7.741999999999999,,,20,,,,
13.79,1099,1100,22000,986,0.9982744130538777,7.759999999999999,-0.05048363283276558,0.0003,22,-0.528052806854248,0.008234580047428608,,
13.44,1199,1200,24000,997,0.9966000670101494,7.758999999999998,0.0010876460000872612,0.0003,24,-0.23558887839317322,0.013237768784165382,,
,1249,,25000,,0.9989296722924337,,0.0011201290180906653,0.0003,,-0.2077651023864746,0.005363413132727146,7.8,13.0
13.32,1299,1300,26000,1011,0.9994328290922567,7.794999999999998,-0.016546081751585007,0.0003,25,-0.16775500774383545,0.0021105236373841763,,
13.27,1399,1400,28000,1024,0.9988487176597118,7.818999999999997,-0.0011934090871363878,0.0003,27,-0.1414916217327118,0.008639640174806118,,
,1499,,30000,,0.9997416593541857,,-0.0006835634703747928,0.0003,,-0.08902888000011444,0.003931636456400156,7.8,13.0
13.11,,1500,30000,1027,,7.796999999999997,,,29,,,,
13.07,1599,1600,32000,1039,0.999416202888824,7.794999999999998,-0.000626525201369077,0.0003,30,-0.08842334151268005,0.005953604821115732,,
13.14,1699,1700,34000,1050,0.999816493014805,7.814999999999998,0.00028581725200638175,0.0003,32,-0.09022904932498932,0.001539690769277513,,
,1749,,35000,,0.998607606976293,,0.09191738069057465,0.0003,,-0.09104559570550919,0.02156170830130577,7.8,13.0
13.2,1799,1800,36000,1050,0.9997901163878851,7.825999999999998,0.0006883168243803084,0.0003,34,-0.11909852176904678,0.0024211914278566837,,
13.34,1899,1900,38000,1059,0.9994876439450309,7.834999999999997,-0.00024061261501628906,0.0003,35,-0.17006775736808777,0.002290650736540556,,
,1999,,40000,,0.999827533174539,,0.00035159551771357656,0.0003,,-0.11950697004795074,0.0012172003043815494,7.8,13.0
13.27,,2000,40000,1055,,7.823999999999996,,,37,,,,
13.26,2099,2100,42000,1062,0.9991839008289389,7.826999999999997,-0.0012465007603168488,0.0003,39,-0.10517813265323639,0.007966576144099236,,
13.24,2199,2200,44000,1070,0.99821072362829,7.828999999999996,0.000288295530481264,0.0003,41,-0.10532945394515991,0.006703026592731476,,
,2249,,45000,,0.9998567383736372,,-9.104023047257215e-05,0.0003,,-0.12165804952383041,0.0008166112238541245,7.8,13.0
13.29,2299,2300,46000,1073,0.9943848876282573,7.838999999999998,-0.263515442609787,0.0003,42,-0.1309385597705841,0.067512147128582,,
13.23,2399,2400,48000,1079,0.9957877090200782,7.833999999999998,0.03552951291203499,0.0003,44,-0.10657268762588501,0.03172464296221733,,
,2499,,50000,,0.999766582128359,,-0.0008369575953111053,0.0003,,-0.10643331706523895,0.0026173503138124943,7.8,13.0
13.31,,2500,50000,1083,,7.841999999999998,,,46,,,,
13.4,2599,2600,52000,1089,0.9993846042198129,7.846999999999998,-0.02675877884030342,0.0003,47,-0.14644500613212585,0.026997456327080727,,
13.3,2699,2700,54000,1094,0.9988766884198412,7.823999999999997,0.014655066654086113,0.0003,49,-0.12747885286808014,0.008778675459325314,,
,2749,,55000,,0.9983678840799257,,0.03389019891619682,0.0003,,-0.11520689725875854,0.02811642363667488,7.8,13.0
13.38,2799,2800,56000,1094,0.9959805393591523,7.854999999999998,-0.15237151086330414,0.0003,51,-0.18284852802753448,0.03184797614812851,,
13.38,2899,2900,58000,1099,0.9998466819670284,7.846999999999998,-8.141037687892094e-05,0.0003,52,-0.16811935603618622,0.0008501661941409111,,
,2999,,60000,,0.9959282404743135,,-0.08139635622501373,0.0003,,-0.1398657262325287,0.03566443920135498,7.8,13.0
13.39,,3000,60000,1102,,7.835999999999999,,,54,,,,
13.23,3099,3100,62000,1105,0.9993291774298996,7.833999999999998,-0.005523743107914925,0.0003,56,-0.1220477968454361,0.006224469281733036,,
13.28,3199,3200,64000,1110,0.9976370185613632,7.838999999999996,0.01842397265136242,0.0003,57,-0.13915136456489563,0.011053567752242088,,
,3249,,65000,,0.9952868134714663,,-0.014668039977550507,0.0003,,-0.19219644367694855,0.06140904501080513,7.8,13.0
13.51,3299,3300,66000,1110,0.9962006455752999,7.861999999999999,-0.12024350464344025,0.0003,59,-0.21114203333854675,0.09123557060956955,,
13.37,3399,3400,68000,1114,0.9990250789560378,7.833999999999998,0.032563649117946625,0.0003,60,-0.11534865945577621,0.015007560141384602,,
