rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/loss,train/learning_rate
35.5,7678,0,142,0.9932550000000001,2.9942755,4,,,,,
36.125,7585,0,289,0.9862724999999998,3.0279283749999997,8,,,,,
34.416666666666664,7201,0,413,0.9803825000000002,2.7737673333333333,12,,,,,
34.375,6875,0,550,0.9738749999999997,2.872129375,16,,,,,
33.4,6331,0,668,0.96827,3.044894,20,,,,,
33.333333333333336,5574,0,800,0.962,2.989897708333333,24,,,,,
32.392857142857146,5751,0,907,0.9569175000000004,3.1796814642857143,28,,,,,
32.8125,5800,0,1050,0.9501250000000002,3.16988453125,32,,,,,
33.916666666666664,5975,0,1221,0.9420024999999997,2.748704027777778,36,,,,,
33.425,6045,0,1337,0.9364924999999995,2.84766295,40,,,,,
33.86363636363637,6149,0,1490,0.9292250000000004,2.6545861590909094,44,,,,,
34.333333333333336,6240,0,1648,0.9217199999999998,2.5052368958333333,48,,,,,
34.38461538461539,6323,0,1788,0.9150700000000005,2.58890025,52,,,,,
34.05357142857143,6348,0,1907,0.9094175000000004,2.62409925,56,,,,,
33.9,6333,0,2034,0.9033849999999999,2.606048466666667,60,,,,,
33.65625,6334,0,2154,0.8976850000000005,2.6681774218750003,64,,,,,
33.61764705882353,6304,0,2286,0.8914149999999995,2.7402771176470586,68,,,,,
33.93055555555556,6357,0,2443,0.8839575000000003,2.7389395694444447,72,,,,,
33.93421052631579,6290,0,2579,0.8774975,2.775350855263158,76,,,,,
34.125,6313,0,2730,0.8703249999999996,2.8062083500000004,80,,,,,
34.142857142857146,6377,0,2868,0.8637699999999998,2.8663629166666675,84,,,,,
34.36363636363637,6453,0,3024,0.8563599999999998,2.850567022727273,88,,,,,
34.15217391304348,6501,0,3142,0.850755,2.883585402173913,92,,,,,
34.416666666666664,6585,0,3304,0.8430600000000003,2.869015989583333,96,,,,,
34.45,6643,0,3445,0.8363624999999996,2.8675867299999998,100,,,,,
34.59,6723,0,3601,0.8289524999999995,2.74729313,104,,,,,
34.47,6769,0,3736,0.8225399999999997,2.6938127799999996,108,,,,,
34.51,6754,0,3864,0.81646,2.7250904999999994,112,,,,,
34.22,6656,0,3972,0.8113300000000001,2.7560970399999998,116,,,,,
34.43,6603,0,4111,0.8047275000000002,2.6703621100000006,120,,,,,
34.42,6635,0,4242,0.7985050000000005,2.6111363100000005,124,,,,,
34.75,6672,0,4382,0.7918550000000002,2.58818261,128,,,,,
34.92,6683,0,4542,0.7842549999999999,2.5475747,132,,,,,
34.43,6691,0,4664,0.7784599999999999,2.74379943,136,,,,,
34.7,5906,0,4807,0.7716674999999997,2.6495884100000002,140,,,,,
34.17,5870,0,4907,0.7669175000000003,2.80289088,144,,,,,
,,,5000,0.7625475000000002,,,2.5038837999999997,50.0,,,
33.75,5361,0,5023,0.7614075,2.91737289,148,,,,,
33.48,5404,0,5136,0.7560399999999997,2.9449876500000003,152,,,,,
33.82,5471,0,5289,0.7487724999999996,2.8301194100000004,156,,,,,
34.2,5532,0,5454,0.7409349999999999,2.8023893900000005,160,,,,,
34.25,5573,1,5579,0.7349975,2.8111086999999997,164,,,,,
34.63,5625,1,5749,0.7269224999999998,2.76369319,168,,,,,
34.47,5653,1,5890,0.7202250000000003,2.77016748,172,,,,,
34.5,5678,1,6029,0.7136225000000003,2.7715588099999997,176,,,,,
34.25,5698,1,6155,0.7076375000000001,2.8123534699999992,180,,,,,
34.45,5731,1,6313,0.7001325000000005,2.69392064,184,,,,,
34.11,5750,1,6435,0.6943375000000005,2.72931328,188,,,,,
34.09,5759,1,6551,0.6888275000000003,2.73822047,192,,,,,
33.73,5764,1,6677,0.6828425,2.7971827400000007,196,,,,,
33.77,5792,1,6822,0.6759550000000003,2.7710416300000005,200,,,,,
33.62,5831,1,6963,0.6692574999999996,2.8690796000000005,204,,,,,
33.85,5872,1,7121,0.6617525000000001,2.8416940399999997,208,,,,,
33.92,5907,1,7256,0.6553400000000003,2.8595441299999997,212,,,,,
33.89,5928,1,7361,0.6503525000000003,2.8680143299999994,216,,,,,
33.88,5959,1,7499,0.6437974999999995,2.92190981,220,,,,,
33.91,5990,1,7633,0.6374325,2.98793254,224,,,,,
34.1,6031,1,7792,0.62988,2.9632671400000006,228,,,,,
33.81,6062,1,7923,0.6236575000000004,3.03568874,232,,,,,
33.72,6082,1,8036,0.6182900000000001,3.0236654699999996,236,,,,,
33.91,6122,1,8198,0.6105950000000003,3.07824006,240,,,,,
