train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0007,0.009970806539058685,895,4.191227625,-0.8742972612380981,99,30.5,0,-4.440364360809326,-0.09596475213766098,500,100,,
0.0007,0.0007826572982594371,886,4.998375749999999,-0.2142050713300705,199,24.675,1,0.3360145688056946,0.0007135459454730153,1000,200,,
0.0007,0.02417905442416668,863,5.225998761194029,-0.15539342164993286,299,22.313432835820894,1,0.3338965177536011,-0.003909293096512556,1500,300,,
0.0007,0.00021157907031010836,875,5.33042029032258,-0.11977605521678925,399,21.462365591397848,2,0.042280614376068115,-0.00012089917436242104,2000,400,,
0.0007,0.00026875929324887693,882,5.57981804,-0.10247943550348282,499,19.58,2,0.80088672041893,-0.00013266431051306427,2500,500,,
0.0007,0.00011861361417686567,891,5.604482840000002,-0.09734217077493668,599,19.22,3,0.8387463241815567,-0.00010890331031987444,3000,600,,
0.0007,0.024093952029943466,897,5.604735340000001,-0.035406071692705154,699,19.54,3,0.6595965027809143,-0.0006872907979413867,3500,700,,
0.0007,0.00038220491842366755,901,5.6015098499999985,-0.03018466755747795,799,19.4,4,0.8605662286281586,6.439346179831773e-05,4000,800,,
0.0007,0.00012526163482107222,904,5.608117439999998,-0.030904999002814293,899,19.61,4,0.9242705330252647,3.362076313351281e-05,4500,900,,
0.0007,0.00012616731692105532,,,-0.011710129678249359,999,,,0.8832784295082092,-1.0362939974584151e-05,5000,,5.5968992,18.2
,,896,5.60897819,,,19.7,5,,,5000,1000,,
0.0007,7.475043094018474e-05,897,5.611337010000001,-0.00745872687548399,1099,19.33,6,0.9149343073368073,-4.306860319047701e-06,5500,1100,,
0.0007,0.003004115540534258,900,5.619735470000002,-0.008133083581924438,1199,19.5,6,0.7217589318752289,-3.077773726545274e-05,6000,1200,,
0.0007,0.0006084537599235773,896,5.622323689999999,-0.008213847875595093,1299,19.47,7,0.9408259578049183,-4.871714281762252e-06,6500,1300,,
0.0007,5.2446375775616616e-05,893,5.620194429999999,-0.007658442948013544,1399,19.45,7,0.9495886527001858,4.143168553127907e-06,7000,1400,,
0.0007,0.0002574558020569384,891,5.627410390000001,-0.0071997130289673805,1499,19.57,8,0.8947489559650421,-1.0949571333185304e-05,7500,1500,,
0.0007,0.010301107540726662,883,5.6208455399999995,-0.009025120176374912,1599,19.42,9,0.9061575308442116,7.11608663550578e-05,8000,1600,,
0.0007,0.0004277404514141381,872,5.613184820000002,-0.0076706064864993095,1699,19.29,9,0.8355627804994583,1.4366506547958124e-05,8500,1700,,
0.0007,0.0006160587072372437,861,5.601473209999999,-0.0071243783459067345,1799,18.87,10,0.8856121599674225,-1.6420432075392455e-05,9000,1800,,
0.0007,0.00010629236930981278,849,5.602380170000001,-0.007350501604378223,1899,19.06,11,0.9975010030902922,-6.661061888735276e-06,9500,1900,,
0.0007,0.00015134269779082388,,,-0.006709157023578882,1999,,,0.8449896425008774,3.7479985621757805e-06,10000,,5.563578000000001,18.2
,,829,5.597235830000001,,,18.89,12,,,10000,2000,,
0.0007,0.00011231560347368941,809,5.606501539999999,-0.007059992756694555,2099,19.05,12,0.9951890157535672,-1.388218720421719e-06,10500,2100,,
0.0007,0.01664726808667183,802,5.617461610000001,-0.011268599890172482,2199,19.31,13,0.7650176137685776,9.252111340174451e-05,11000,2200,,
0.0007,0.008792917244136333,800,5.61435012,-0.011001374572515488,2299,19.17,14,0.9327035322785378,8.433104812866077e-05,11500,2300,,
0.0007,0.0007259800331667066,800,5.61360519,-0.006664989050477743,2399,19.28,14,0.7835110872983932,-1.6088943084469065e-05,12000,2400,,
0.0007,0.013102424331009388,801,5.61543404,-0.00635715713724494,2499,19.4,15,0.8189627081155777,5.233547926764004e-05,12500,2500,,
0.0007,0.0005196264246478677,800,5.60944248,-0.00627458980306983,2599,19.34,16,0.928832046687603,-1.3579466212831903e-05,13000,2600,,
0.0007,0.00029177681426517665,801,5.612793839999999,-0.006885510869324207,2699,19.34,16,0.9839162901043892,8.964387347987213e-07,13500,2700,,
0.0007,0.003885241923853755,801,5.626678429999999,-0.006284663919359446,2799,19.67,17,0.8870864734053612,-2.825175761245191e-05,14000,2800,,
0.0007,0.0027490160427987576,800,5.619891689999999,-0.0034430597443133593,2899,19.35,18,-4.238351821899414,-0.06058422476053238,14500,2900,,
0.0007,0.00023949080787133425,,,-0.002746827434748411,2999,,,0.8288768827915192,-2.1701946479879552e-06,15000,,5.5768884,18.6
,,799,5.611763130000001,,,19.11,18,,,15000,3000,,
0.0007,0.0006870697252452374,796,5.6144381,-0.0028117161709815264,3099,19.26,19,0.7776862531900406,6.363482498272788e-06,15500,3100,,
0.0007,0.00039481688872911036,792,5.61432185,-0.002833425533026457,3199,19.23,20,0.7426609694957733,-2.1201510662649525e-06,16000,3200,,
0.0007,4.867223833571188e-05,788,5.62316645,-0.004321187734603882,3299,19.54,20,0.869518056511879,-7.507200621148513e-07,16500,3300,,
0.0007,0.0004890559357590973,784,5.62309753,-0.0029741586185991764,3399,19.7,21,0.9836346115916967,4.781764346262207e-06,17000,3400,,
0.0007,0.0006201948854140937,782,5.6213097099999985,-0.002758962567895651,3499,19.62,22,0.790555015206337,-5.130636964167934e-06,17500,3500,,
0.0007,0.0004166154540143907,782,5.611318259999999,-0.0028793427627533674,3599,19.34,23,0.9964245902374387,-4.984059160051402e-06,18000,3600,,
0.0007,7.147725409595296e-05,782,5.62308173,-0.0028323233127593994,3699,19.48,23,0.8304772526025772,-9.4465275424227e-07,18500,3700,,
0.0007,0.0009986844379454851,782,5.621007520000001,-0.0027675307355821133,3799,19.41,24,0.940445140004158,-7.824988642823882e-06,19000,3800,,
0.0007,0.0002068190078716725,783,5.619198729999999,-0.004724117461591959,3899,19.33,24,0.9449946470558643,-5.981247340969276e-06,19500,3900,,
0.0007,0.00025148852728307247,,,-0.004795647691935301,3999,,,0.9932223353534937,5.716227406082908e-06,20000,,5.562284,18.0
,,782,5.61910669,,,19.34,25,,,20000,4000,,
0.0007,0.0001916191104101017,782,5.62373468,-0.005128093529492617,4099,19.53,26,0.8916797712445259,-5.771152700617677e-06,20500,4100,,
0.0007,0.0002484122815076262,780,5.6225588900000005,-0.004714475944638252,4199,19.4,26,0.9301810264587402,-6.464239959314e-06,21000,4200,,
0.0007,0.00048364754184149206,781,5.6262052,-0.004772909916937351,4299,19.51,27,0.9858010243624449,6.9911047830828466e-06,21500,4300,,
0.0007,5.6624372518854216e-05,782,5.625240699999999,-0.0027562007308006287,4399,19.59,28,0.9926537610590458,1.8471779412720934e-06,22000,4400,,
0.0007,0.0003273281326983124,781,5.61670049,-0.0027340881060808897,4499,19.27,28,0.871770828962326,-3.7334702938096598e-06,22500,4500,,
0.0007,0.0017804543022066355,782,5.61516235,-0.002735339105129242,4599,19.32,29,0.8549666553735733,1.0427977940707933e-05,23000,4600,,
0.0007,9.14906631805934e-05,783,5.627356249999999,-0.0027793149929493666,4699,19.67,29,0.9534303620457649,-2.007762759603793e-06,23500,4700,,
0.0007,0.00010539048525970429,783,5.62764185,-0.002873480785638094,4799,19.67,30,0.8800349459052086,-9.529272801955813e-07,24000,4800,,
0.0007,0.001005427329801023,783,5.62477587,-0.002761098090559244,4899,19.6,31,0.7431968450546265,-6.559982921316987e-06,24500,4900,,
0.0007,0.006368781439960003,,,-0.0028864266350865364,4999,,,0.916506752371788,1.4585365534003358e-05,25000,,5.648436200000001,20.8
,,780,5.62823578,,,19.73,32,,,25000,5000,,
0.0007,0.0019491907441988587,780,5.620089070000001,-0.001720231375657022,5099,19.51,32,0.8381283581256866,6.4108985498023685e-06,25500,5100,,
0.0007,0.0007230776827782393,778,5.61023098,-0.001698087900876999,5199,19.12,33,-0.5512815713882446,3.0878381949150935e-06,26000,5200,,
0.0007,0.00029805355006828904,778,5.606831019999999,-0.0017375185852870345,5299,19.07,34,0.7843038439750671,2.3389222860714654e-06,26500,5300,,
0.0007,0.000523305032402277,779,5.5998005799999975,-0.0017423449316993356,5399,18.71,34,0.9161803796887398,-3.3083172183978604e-06,27000,5400,,
0.0007,0.00019123757374472916,780,5.603056990000002,-0.0017108379397541285,5499,18.95,35,0.8922710940241814,1.433495071978541e-06,27500,5500,,
0.0007,3.729253148776479e-05,779,5.60682379,-0.0017014315817505121,5599,19.03,35,0.9359094351530075,3.017685301642814e-08,28000,5600,,
0.0007,0.005623256787657738,779,5.613314380000002,-0.0017714870627969503,5699,19.38,36,0.9093336760997772,8.249550774053205e-06,28500,5700,,
0.0007,0.00014040588575880975,777,5.61224553,-0.0016669239848852158,5799,19.3,37,0.8691403269767761,-1.3728666772294673e-06,29000,5800,,
0.0007,0.0012656607432290912,774,5.612638640000001,-0.0018325770506635308,5899,19.26,38,0.8411951065063477,-5.535962827707408e-06,29500,5900,,
0.0007,0.00048728761612437665,,,-0.001730945659801364,5999,,,0.9847866985946894,-2.705572569539072e-06,30000,,5.6225736,20.0
,,774,5.6119653099999995,,,19.3,38,,,30000,6000,,
0.0007,0.00035511807072907686,773,5.61515177,-0.0017106321174651384,6099,19.33,39,0.8625821024179459,2.6125246677111136e-06,30500,6100,,
0.0007,6.486398342531174e-05,774,5.61875916,-0.0016123969107866287,6199,19.61,40,0.9431058913469315,6.177868954182486e-07,31000,6200,,
0.0007,0.004424551036208868,774,5.61706046,-0.0015885636676102877,6299,19.47,40,0.8257357627153397,-9.030797627929132e-06,31500,6300,,
0.0007,0.00028058650786988437,775,5.62397508,-0.0016516422620043159,6399,19.52,41,0.7547555714845657,-7.064394367262139e-07,32000,6400,,
0.0007,0.0019457561429589987,777,5.6222208899999995,-0.0016044722869992256,6499,19.54,41,0.9595249332487583,6.119632416812237e-06,32500,6500,,
0.0007,0.00021561227913480252,777,5.624441119999999,-0.0015515591949224472,6599,19.48,42,0.6036761701107025,1.366604692520923e-06,33000,6600,,
0.0007,0.0016748685156926513,778,5.61055721,-0.001590662868693471,6699,19.09,43,0.8515364825725555,-5.389701072999742e-06,33500,6700,,
0.0007,0.00038260919973254204,778,5.603454750000001,-0.00154388346709311,6799,18.84,43,0.7916035205125809,-1.8572767430669046e-06,34000,6800,,
0.0007,0.0008794218301773071,779,5.60879297,-0.0015331017784774303,6899,18.88,44,0.7922211736440659,3.4043994219246088e-06,34500,6900,,
0.0007,0.0012321916874498129,,,-0.0017107613384723663,6999,,,0.9872176218777895,4.14468831877457e-06,35000,,5.648666,20.8
,,779,5.59610581,,,18.55,44,,,35000,7000,,
0.0007,0.001639520050957799,779,5.61630474,-0.0015850201016291976,7099,19.15,45,0.6646169126033783,2.3800846520316554e-06,35500,7100,,
0.0007,0.0002099155681207776,781,5.6200588499999995,-0.0015413581859320402,7199,19.37,46,0.3277711868286133,7.629987521795556e-07,36000,7200,,
0.0007,0.00015793729107826948,782,5.625184750000001,-0.0014511758927255869,7299,19.56,46,0.8785136863589287,-9.638988558435813e-07,36500,7300,,
0.0007,4.908053233521059e-05,783,5.631741600000001,-0.0014847659040242434,7399,19.69,47,0.9699104968458414,-7.814476816747629e-07,37000,7400,,
0.0007,0.001394980470649898,783,5.631214679999999,-0.0014787137042731047,7499,19.62,47,0.7845264673233032,-4.440339125721948e-06,37500,7500,,
