train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0003,2.6803174018859863,1162,3.168353016393443,-1.906618356704712,99,32.65573770491803,1,0.18076372146606445,0.5715566873550415,2000,100,,
0.0003,2.337022542953491,1196,3.4509051299999998,-1.8630256652832031,199,29.35,3,0.5340729355812073,2.7162017822265625,4000,200,,
0.0003,0.26318877935409546,,,-1.8416897058486938,249,,,0.7878278195858002,0.49510544538497925,5000,,5.6648072,20.8
0.0003,0.6263367533683777,1210,3.5792175900000003,-1.748828649520874,299,27.01,4,-0.7782241106033325,1.0236427783966064,6000,300,,
0.0003,0.0969788134098053,1214,4.43097323,-1.257903814315796,399,23.34,6,0.3952030539512634,-0.23467513918876648,8000,400,,
0.0003,0.3541099429130554,,,-0.536988377571106,499,,,-0.7886874675750732,-0.7741786241531372,10000,,5.6177226,19.2
,,1224,5.18616664,,,21.63,8,,,10000,500,,
0.0003,0.019724499434232712,1200,5.481551820000001,-0.24286523461341858,599,19.51,9,-1.1822853088378906,0.04727967828512192,12000,600,,
0.0003,0.006115725729614496,1191,5.5646134300000005,-0.16847756505012512,699,18.76,11,0.9176618009805679,0.002067884895950556,14000,700,,
0.0003,0.014620816335082054,,,-0.13733413815498352,749,,,0.5587632954120636,-0.03281344100832939,15000,,5.6592912,20.6
0.0003,0.018445979803800583,1182,5.58860616,-0.1254110038280487,799,19.25,13,0.2958564758300781,-0.04592723026871681,16000,800,,
0.0003,0.0012644340749830008,1195,5.601647769999999,-0.07706384360790253,899,19.62,15,0.9008575603365898,0.00010186810686718673,18000,900,,
0.0003,0.0032312399707734585,,,-0.07162576913833618,999,,,0.8795094862580299,0.0005122597212903202,20000,,5.649910800000001,20.2
,,1203,5.636413339999999,,,19.99,16,,,20000,1000,,
0.0003,0.0036476068198680878,1213,5.60122754,-0.04718761518597603,1099,19.22,18,0.8134121894836426,-0.0002498294343240559,22000,1100,,
0.0003,0.007689116057008505,1220,5.60876086,-0.035665567964315414,1199,19.25,19,0.800469234585762,0.00028865315834991634,24000,1200,,
0.0003,0.004871671088039875,,,-0.026682719588279724,1249,,,0.6912016272544861,4.5841581595595926e-05,25000,,5.6111706,19.2
0.0003,0.0011368633713573217,1224,5.619261839999999,-0.02871682122349739,1299,19.7,21,0.9150796756148338,6.247725195862586e-06,26000,1300,,
0.0003,0.0014855120098218322,1228,5.617485920000002,-0.024991998448967934,1399,19.46,22,0.9109450578689575,-3.427540650591254e-05,28000,1400,,
0.0003,0.012166318483650684,,,-0.02143503539264202,1499,,,0.343051016330719,6.085246423026547e-05,30000,,5.5073441999999995,15.6
,,1231,5.62236635,,,19.66,24,,,30000,1500,,
0.0003,0.016283955425024033,1232,5.611324509999999,-0.014781300909817219,1599,19.37,25,0.7074407339096069,-0.00019021844491362572,32000,1600,,
0.0003,0.0018912144005298615,1232,5.61201416,-0.015062198042869568,1699,19.22,27,0.02947676181793213,-8.033703124965541e-06,34000,1700,,
0.0003,0.0009659614297561347,,,-0.01361431460827589,1749,,,0.9441455267369747,-3.3463908039266244e-05,35000,,5.6572134,21.0
0.0003,0.0003178429906256497,1234,5.625680749999999,-0.013335059396922588,1799,19.72,29,0.982636347413063,7.448655196640175e-06,36000,1800,,
0.0003,0.0025410479865968227,1236,5.6250183300000005,-0.012669402174651623,1899,19.53,30,0.46473413705825806,-1.1194422768312506e-05,38000,1900,,
0.0003,0.004296059254556894,,,-0.012067305855453014,1999,,,0.8858387321233749,-7.735859981039539e-05,40000,,5.702756000000001,22.2
,,1237,5.61579797,,,19.36,32,,,40000,2000,,
0.0003,0.0003291897301096469,1242,5.60601595,-0.015040451660752296,2099,18.78,33,0.962945356965065,-4.2437932279426605e-06,42000,2100,,
0.0003,0.0030436518136411905,1246,5.625975739999999,-0.012554657645523548,2199,19.57,35,0.7469914555549622,-2.7490159482113086e-05,44000,2200,,
0.0003,0.0010381278116255999,,,-0.014505734667181969,2249,,,0.9237908571958542,1.1811599506472703e-05,45000,,5.58263,17.6
0.0003,0.0006285657873377204,1246,5.6131166100000005,-0.012863834388554096,2299,19.1,36,0.9315163716673851,-2.694845898076892e-05,46000,2300,,
0.0003,0.005293530877679586,1246,5.6251298,-0.013803765177726746,2399,19.47,38,-0.6359403133392334,0.04315749928355217,48000,2400,,
0.0003,0.0063116224482655525,,,-0.013351229950785637,2499,,,-0.7342566251754761,-4.029614137834869e-05,50000,,5.667343600000001,21.0
,,1246,5.603160450000002,,,19.02,40,,,50000,2500,,
