rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/loss,train/learning_rate
37.0,11752,0,148,0.9929700000000004,3.4505355000000004,4,,,,,
38.0,646,0,304,0.9855600000000003,3.17168225,8,,,,,
38.666666666666664,940,0,464,0.9779600000000002,3.022423583333333,12,,,,,
39.375,1187,0,630,0.9700750000000001,2.8666905,16,,,,,
37.1,1364,0,742,0.9647550000000001,3.0194446999999998,20,,,,,
36.333333333333336,1558,0,872,0.9585799999999998,3.042667333333334,24,,,,,
36.142857142857146,1756,0,1012,0.9519300000000005,3.066559892857143,28,,,,,
35.78125,1933,0,1145,0.9456125000000002,3.07134521875,32,,,,,
36.22222222222222,2135,0,1304,0.9380600000000003,3.061219944444445,36,,,,,
36.225,2309,0,1449,0.9311725000000005,3.142766775,40,,,,,
36.52272727272727,2497,0,1607,0.9236674999999999,3.0135655227272733,44,,,,,
37.083333333333336,2679,0,1780,0.9154499999999999,2.5750059791666664,48,,,,,
37.0,2824,0,1924,0.9086100000000004,2.634966576923077,52,,,,,
36.80357142857143,2952,0,2061,0.9021024999999999,2.6098142857142856,56,,,,,
36.25,3054,0,2175,0.8966875000000003,2.6971180166666664,60,,,,,
36.40625,3194,0,2330,0.8893249999999996,2.732979890625,64,,,,,
36.26470588235294,3307,0,2466,0.8828650000000005,2.736694058823529,68,,,,,
36.02777777777778,3409,0,2594,0.8767849999999997,2.7816963055555557,72,,,,,
35.921052631578945,3517,0,2730,0.8703249999999996,2.820394197368421,76,,,,,
36.0125,3625,0,2881,0.8631525,2.736498825,80,,,,,
36.01190476190476,3710,0,3025,0.8563124999999995,2.7582042500000004,84,,,,,
36.11363636363637,3822,0,3178,0.8490450000000004,2.7758787386363637,88,,,,,
36.25,3918,0,3335,0.8415875,2.704040086956522,92,,,,,
36.114583333333336,4000,0,3467,0.8353175000000002,2.721561,96,,,,,
35.99,4081,0,3599,0.8290475000000002,2.7440646600000003,100,,,,,
35.94,4166,0,3742,0.822255,2.6668021800000004,104,,,,,
36.06,4259,0,3910,0.8142750000000004,2.6413996500000003,108,,,,,
35.77,4323,0,4041,0.8080524999999997,2.66491239,112,,,,,
35.01,4367,0,4131,0.8037775000000003,2.7410472599999998,116,,,,,
35.37,4442,0,4279,0.7967474999999995,2.7209277099999998,120,,,,,
35.46,4514,0,4418,0.7901450000000005,2.6891578499999995,124,,,,,
35.67,4595,0,4579,0.7824975000000001,2.6186128399999995,128,,,,,
35.72,4657,1,4717,0.7759425000000003,2.6154706500000002,132,,,,,
35.41,4714,1,4845,0.7698624999999996,2.63284972,136,,,,,
35.32,4774,1,4981,0.7634025000000004,2.6085234600000002,140,,,,,
,,,5000,0.7625475000000002,,,-19.6740014,50.0,,,
35.41,4357,1,5148,0.7554700000000002,2.5969888200000004,144,,,,,
35.01,4417,1,5281,0.7491524999999999,2.8072382699999996,148,,,,,
35.01,4479,1,5425,0.7423125000000005,2.7924774500000007,152,,,,,
35.09,4535,1,5570,0.7354249999999997,2.8369497899999994,156,,,,,
35.3,4588,1,5705,0.7290124999999998,2.8060825600000006,160,,,,,
35.44,4654,1,5874,0.720985,2.7005997000000006,164,,,,,
35.39,4697,1,6005,0.7147625000000003,2.7221166800000005,168,,,,,
35.77,4760,1,6171,0.7068775000000003,2.65415992,172,,,,,
35.85,4811,1,6315,0.7000374999999999,2.5867888300000006,176,,,,,
35.43,4848,1,6424,0.6948599999999997,2.7034579499999993,180,,,,,
35.6,4901,1,6585,0.6872125000000002,2.6158671000000004,184,,,,,
35.39,4946,1,6717,0.6809425000000002,2.6380687999999997,188,,,,,
35.35,4994,1,6870,0.6736750000000001,2.5833619600000004,192,,,,,
35.67,5043,1,7034,0.6658849999999997,2.43990949,196,,,,,
35.72,5083,1,7171,0.6593775000000004,2.41480511,200,,,,,
35.66,5121,1,7308,0.6528699999999998,2.4931191100000003,204,,,,,
35.33,5159,1,7443,0.6464575000000001,2.53090742,208,,,,,
35.4,5193,1,7581,0.6399025000000004,2.5204754200000004,212,,,,,
35.72,5226,1,7703,0.6341075000000003,2.4903561899999995,216,,,,,
35.95,5268,1,7874,0.6259849999999999,2.41378175,220,,,,,
35.7,5289,1,7988,0.6205700000000003,2.49598438,224,,,,,
35.59,5319,1,8138,0.613445,2.5579338,228,,,,,
35.96,5335,1,8313,0.6051325000000003,2.51633038,232,,,,,
