train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0007,0.7211342453956604,1267,3.2817228,-1.861786127090454,99,33.06666666666667,1,0.21904629468917847,-1.44313383102417,2000,100,,
0.0007,0.03732488676905632,1297,4.802861060000001,-0.49213916063308716,199,23.75,3,-0.03409779071807861,0.016309265047311783,4000,200,,
0.0007,0.010909800417721272,,,-0.28156447410583496,249,,,-9.70528507232666,-0.009748142212629318,5000,,5.690769599999999,22.0
0.0007,0.07126522064208984,1253,5.57360672,-0.19074401259422302,299,19.83,4,-1.6511471271514893,0.0051508499309420586,6000,300,,
0.0007,0.0025695879012346268,1268,5.571951309999999,-0.09553124010562897,399,18.54,6,0.6939269006252289,-0.0005185320624150336,8000,400,,
0.0007,0.007836734876036644,,,-0.03568793460726738,499,,,-0.12144362926483154,0.0003426074399612844,10000,,5.6540496000000005,20.8
,,1277,5.593781750000001,,,19.34,7,,,10000,500,,
0.0007,0.0005320197669789195,1270,5.622487349999999,-0.022315261885523796,599,19.52,9,0.5621730983257294,0.0012449403293430805,12000,600,,
0.0007,0.0007328231586143374,1254,5.637885969999998,-0.013995015993714333,699,20.1,11,0.4941726326942444,2.9731449103564955e-05,14000,700,,
0.0007,0.016679856926202774,,,-0.0156510379165411,749,,,0.3061455488204956,-0.00019477895693853498,15000,,5.6872532,20.4
0.0007,0.0018220798810943961,1254,5.635739549999999,-0.01631861925125122,799,19.83,12,-0.7513529062271118,-4.0669234294909984e-05,16000,800,,
0.0007,0.0007568454602733254,1227,5.626210019999999,-0.007013713009655476,899,19.63,14,0.8683936148881912,1.7374439266859554e-05,18000,900,,
0.0007,0.00045786978444084525,,,-0.005620109848678112,999,,,0.6494885683059692,2.1333676158974413e-07,20000,,5.5606182,17.4
,,1232,5.608921959999999,,,19.23,16,,,20000,1000,,
0.0007,7.269586058100685e-05,1238,5.621570149999999,-0.005664613097906113,1099,19.44,17,0.9728293810039759,-1.596980837348383e-06,22000,1100,,
0.0007,0.0017970099579542875,1246,5.613735739999999,-0.006718476768583059,1199,19.15,19,0.8960583806037903,-2.6813675503944978e-05,24000,1200,,
0.0007,0.0007821462932042778,,,-0.0066382065415382385,1249,,,0.8974089622497559,-1.3955109352536965e-05,25000,,5.5703522,17.6
0.0007,0.008492785505950451,1254,5.615427739999999,-0.004427294246852398,1299,19.4,20,0.4660484790802002,-3.177303005941212e-05,26000,1300,,
0.0007,0.00666604470461607,1264,5.6236536599999996,-0.003556653391569853,1399,19.54,22,-1.0265955924987793,1.6288197002722882e-05,28000,1400,,
0.0007,0.0016807079082354903,,,-0.003474264172837138,1499,,,0.7243448793888092,-1.0981906598317437e-05,30000,,5.5143462,16.2
,,1263,5.60823666,,,19.19,23,,,30000,1500,,
0.0007,0.0014241875614970922,1267,5.603209860000001,-0.0023830391000956297,1599,18.88,25,0.8544387072324753,-7.0006653913878836e-06,32000,1600,,
0.0007,0.0007007059175521135,1271,5.61864407,-0.002391848247498274,1699,19.32,26,0.751065120100975,1.1092877230112208e-06,34000,1700,,
0.0007,0.00020267200306989253,,,-0.0023544675204902887,1749,,,0.49295926094055176,3.0341183787641057e-07,35000,,5.626372000000001,19.4
