file,mean_reward,std_reward,success_rate,episodes
reinforce_policy_ep100_eval.csv,-15.421531032477809,0.7817137210095926,0.0,100
reinforce_policy_ep1050_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep250_eval.csv,-27.11411433281335,0.29847034775745773,0.0,100
reinforce_policy_ep1300_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1550_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep400_eval.csv,5.7567263692483985,0.11831649557402361,1.0,100
reinforce_policy_ep1600_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep750_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep900_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1850_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1100_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep300_eval.csv,-27.11411433281335,0.29847034775745773,0.0,100
reinforce_policy_ep1250_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1400_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep550_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep50_eval.csv,-14.046682807190017,0.978605644979326,0.0,100
reinforce_policy_ep1750_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep600_eval.csv,5.640717096343986,0.10888788925621345,1.0,10
reinforce_policy_ep850_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1900_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep500_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1450_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep650_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_final_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep2000_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1700_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1950_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep800_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1150_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1200_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep350_eval.csv,-24.65491049620812,1.2876969710279682,0.0,100
ppo_final_model_eval.csv,5.794689138079994,0.2219953757571047,1.0,100
dqn_final_model_eval.csv,5.019861497357487,1.729421657533739,0.7,10
reinforce_policy_ep450_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1500_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep700_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1650_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep1800_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep950_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
a2c_final_model_eval.csv,2.531424139738083,0.044820414680103275,0.0,100
reinforce_policy_ep1000_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep150_eval.csv,-21.900691297259808,0.8292447116477247,0.0,100
reinforce_policy_ep1350_eval.csv,5.6045716638366905,0.09121608759443822,1.0,100
reinforce_policy_ep200_eval.csv,-23.83393354679744,0.7947026066529032,0.0,100
